Year,Tsu,Location Name,Latitude,Longitude
1977,Tidak Terjadi Tsunami,"INDONESIA:  SUMATERA,SINURAT,TALU",0.45,100.02
1977,Terjadi Tsunami,INDONESIA:  SUNDA ISLANDS,-11.085,118.464
1979,Tidak Terjadi Tsunami,INDONESIA:  BALI,-8.299,115.934
1979,Tidak Terjadi Tsunami,INDONESIA:  SUMBAWA ISLAND,-8.207,115.949
1979,Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-1.679,136.04
1979,Tidak Terjadi Tsunami,INDONESIA:  SUMBAWA ISLAND,-8.254,115.847
1979,Tidak Terjadi Tsunami,INDONESIA:  JAVA,-7.656,108.252
1979,Tidak Terjadi Tsunami,INDONESIA:  S SUMATERA,-3.299,102.712
1979,Tidak Terjadi Tsunami,"INDONESIA:  SUMBAWA ISLAND:  BALI, LOMBOK",-8.39,115.889
1980,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  TASIKMALAJA,-8.082,108.793
1981,Tidak Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA: JAYAWIJAYA MTS,-4.576,139.232
1982,Tidak Terjadi Tsunami,"INDONESIA:  JAVA, SUKABUMI",-6.863,106.936
1982,Terjadi Tsunami,INDONESIA:  NORTHERN SUMATERA,4.374,97.755
1982,Terjadi Tsunami,INDONESIA:  SUMBAWA ISLAND REGION,-9.265,118.479
1982,Tidak Terjadi Tsunami,INDONESIA:  FLORES ISLANDS:  RUTENG,-8.375,120.577
1982,Terjadi Tsunami,INDONESIA:  FLORES ISLAND:  EASTERN,-8.405,123.08
1983,Terjadi Tsunami,INDONESIA:  BANDA SEA,-4.056,127.924
1983,Tidak Terjadi Tsunami,INDONESIA:  SUMATERA:  BANDA ACEH,5.723,94.722
1983,Tidak Terjadi Tsunami,INDONESIA:  CELEBES:  MINAHASSA:  TOLITOLI,1.084,121.052
1983,Tidak Terjadi Tsunami,INDONESIA:  CENTRAL SULAWESI,1.131,120.858
1984,Terjadi Tsunami,INDONESIA:  SULAWESI:  W,-2.823,118.806
1984,Tidak Terjadi Tsunami,INDONESIA:  N SUMATERA:  TARUTUNG,1.761,99.075
1985,Terjadi Tsunami,"INDONESIA:  DENPASAR, BALI",-9.245,114.185
1985,Tidak Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ENAROTALI,-4.13,136.049
1985,Tidak Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  MANOKWARI,-1.639,134.911
